match_id,date_utc,home_team,away_team,home_score,away_score,actual_score,actual_1x2,pick,correct_1x2,top_score_1,exact_score_hit,actual_score_top10_prob,actual_over25,pred_over25_prob,over25_pick,over25_hit,actual_btts,pred_btts_prob,btts_pick,btts_hit,final_p_home,final_p_draw,final_p_away,log_loss_1x2,brier_1x2
WC2026-001,2026-06-11T19:00:00+00:00,Mexico,South Africa,2,0,2-0,HOME,HOME,1,2-0,1,0.1336621024289292,0,0.4895925359799504,0,1,0,0.4417547875153199,0,1,0.6693041226817994,0.2161862353288333,0.1145096419893673,0.40151672920259535,0.16920870972944113
WC2026-002,2026-06-11T22:00:00+00:00,South Korea,Czechia,1,1,1-1,DRAW,HOME,0,1-1,1,0.1323431825116791,0,0.4882339985756689,0,1,1,0.5299466896304029,1,1,0.4901608073793339,0.274451169892762,0.2353880227279041,1.292981921314464,0.8220862432044943
